Employee ID,Name,Age,Department,Salary ($),Years at Company,Performance Score,Attrition
E0001,Oscar Walker,35,Finance,83073,17,4.2,Yes
E0002,Hannah Patel,43,Finance,61105,19,4.6,No
E0003,Nina Scott,26,Human Resources,54998,6,4.2,No
E0004,Bob Clark,55,Customer Support,106850,11,4.0,No
E0005,Hannah Hall,59,Finance,55421,0,4.5,No
E0006,Paula Clark,42,Customer Support,97306,6,3.8,Yes
E0007,Oscar Johnson,24,Sales,103474,0,3.4,No
E0008,Edward Carter,42,Marketing,89098,16,3.3,Yes
E0009,Tina Hall,47,Marketing,95649,19,2.8,No
E0010,Laura Hall,31,Sales,62206,9,3.6,No
E0011,Bob Hall,23,IT,118306,4,4.1,No
E0012,Charlie Hall,35,Human Resources,83755,18,3.5,No
E0013,Steve Carter,41,Human Resources,55307,1,5.0,No
E0014,Quentin Young,33,Customer Support,51457,13,3.9,Yes
E0015,Oscar Smith,32,Engineering,48491,1,4.6,No
E0016,Kevin Evans,57,Marketing,88442,12,3.8,No
E0017,Paula Lopez,53,Sales,52948,19,4.1,Yes
E0018,Edward Kim,34,Customer Support,55403,19,4.1,No
E0019,Michael Baker,27,Human Resources,97260,0,3.2,No
E0020,Fiona Nguyen,30,Finance,96622,0,4.0,No
E0021,Quentin Patel,60,Customer Support,59222,13,3.6,No
E0022,Ian Walker,41,Finance,109976,1,4.3,No
E0023,Paula Clark,54,Engineering,94198,0,4.4,No
E0024,Tina Johnson,35,Finance,65508,19,3.9,No
E0025,Ian Baker,43,Marketing,69940,9,3.7,No
E0026,Edward Clark,28,Engineering,63620,5,4.5,No
E0027,Edward Scott,45,Sales,117393,15,4.3,No
E0028,Ian White,45,Engineering,75853,1,3.3,No
E0029,Kevin Johnson,56,Marketing,116731,18,4.5,No
E0030,Paula Kim,60,Human Resources,89831,3,4.3,No
E0031,George Patel,33,Marketing,105362,5,3.9,No
E0032,Kevin Baker,26,Finance,92080,16,4.4,No
E0033,Bob Brown,30,Engineering,95049,18,4.7,Yes
E0034,Michael Walker,25,Customer Support,49226,4,4.4,No
E0035,Charlie Hall,30,Customer Support,96301,19,4.3,No
E0036,Michael Walker,24,Finance,90070,18,4.2,No
E0037,Kevin Patel,38,Sales,72567,6,3.8,Yes
E0038,Ian Brown,49,Engineering,109498,7,4.3,No
E0039,Nina Clark,40,Human Resources,110422,14,3.4,No
E0040,Laura Garcia,35,Customer Support,55393,1,4.2,No
E0041,Dana Garcia,34,IT,71573,7,4.3,No
E0042,Rachel Hall,33,Engineering,95739,19,3.4,Yes
E0043,Hannah Carter,35,Finance,74193,19,3.1,Yes
E0044,Oscar Allen,57,Engineering,54861,4,4.5,No
E0045,Charlie Walker,45,Marketing,65553,15,4.6,Yes
E0046,Edward White,23,Marketing,50365,17,4.1,No
E0047,George Adams,46,Human Resources,68856,9,4.3,No
E0048,Hannah Smith,41,Customer Support,80347,0,4.3,No
E0049,Charlie Nguyen,23,Human Resources,62706,4,3.9,No
E0050,Ian Kim,56,Finance,55529,9,4.2,Yes
E0051,Steve Johnson,35,Marketing,82381,14,3.4,No
E0052,Hannah Garcia,23,Marketing,96002,5,3.9,Yes
E0053,Paula White,30,Sales,105550,11,4.2,No
E0054,Paula Nguyen,45,Sales,82997,0,3.5,No
E0055,Quentin Baker,33,Marketing,82760,14,4.1,No
E0056,Charlie Walker,57,Sales,70299,0,5.0,No
E0057,Edward Adams,45,Customer Support,119563,0,3.7,No
E0058,Fiona Adams,30,Human Resources,89429,9,3.6,No
E0059,Hannah Young,53,Finance,113635,1,3.7,Yes
E0060,Nina Lopez,49,Engineering,51296,20,4.5,No
E0061,Dana Johnson,40,Engineering,76602,2,3.2,Yes
E0062,Steve Lopez,48,Customer Support,102138,7,3.8,No
E0063,Michael Young,52,Customer Support,73565,3,4.3,No
E0064,Paula Brown,22,Human Resources,94057,1,3.9,Yes
E0065,Jenna Allen,22,Engineering,119627,2,4.5,No
E0066,Quentin Walker,31,Sales,70946,12,4.3,No
E0067,George Walker,45,Engineering,111254,20,4.7,No
E0068,Dana Lee,29,IT,94873,10,4.3,No
E0069,George Clark,48,IT,107328,19,3.9,No
E0070,Quentin Evans,24,IT,74333,9,3.9,No
E0071,Kevin Walker,31,Sales,45264,20,4.2,No
E0072,Ian Johnson,51,Engineering,47977,16,3.8,Yes
E0073,Michael Patel,29,Marketing,79045,6,3.5,No
E0074,Nina Garcia,36,Human Resources,114536,9,3.7,No
E0075,Paula Kim,29,Finance,92045,15,4.7,No
E0076,Charlie Walker,53,IT,58162,1,3.8,No
E0077,Fiona Baker,24,Human Resources,106568,0,4.2,Yes
E0078,Steve Baker,50,IT,69307,14,4.1,No
E0079,Rachel Garcia,56,Marketing,66421,7,3.7,No
E0080,Jenna Johnson,41,Marketing,74865,2,4.3,No
E0081,Ian Nguyen,23,Marketing,99729,4,4.2,No
E0082,Tina Brown,25,Sales,64071,20,4.2,Yes
E0083,Bob Adams,42,Finance,81558,2,3.8,Yes
